country,province,title,variety,points,price,description
France,Burgundy,David Duband 2014 Aux Thorey Premier Cru  (Nuits-St.-Georges),Pinot Noir,94,85.0,"From one of the highest premier cru vineyards comes a wine that has a cool edge, generous fruit and firm tannins. Those elements come together with black cherry flavors and a dry core, promising a serious future. Drink from 2023."
France,Burgundy,David Duband 2014 Les Sentiers Premier Cru  (Chambolle-Musigny),Pinot Noir,94,135.0,"This wine manages to combine firm structure with the finely perfumed fruit associated with Chambolle-Musigny. It's rich, fruity, lifted by acidity and held together by solid tannins. Impressive and full bodied, it's a wine to age. Drink from 2024."
France,Burgundy,Louis Jadot 2014 Clos des Ursules Premier Cru  (Beaune),Pinot Noir,94,90.0,"This dense and structured wine comes from a small walled vineyard within the larger Les Vignes Franches premier cru, partially owned by Louis Jadot. Robust tannins frame its rich, juicy black fruit, showing potential for long aging. Drink from 2024."
France,Burgundy,Louis Jadot 2014 Les Boudots Premier Cru  (Nuits-St.-Georges),Pinot Noir,93,132.0,"This wine comes from a vineyard owned by the Gagey situated in the northern part of Nuits-Saint-Georges, close to Vosne-Romanée. It has firm structure and a perfumed character that is already enticing. Richly fruity with juicy acidity, it will be impressive as it ages. Drink from 2023."
France,France Other,Saget la Perrière 2016 La Petite Perrière Pinot Noir (Vin de France),Pinot Noir,85,12.0,"This light, cool-climate Pinot Noir is crisp with red currant fruit and herbal-tinged acidity. It has a zesty character that keeps it lively and tight. Drink now."
France,Loire Valley,Domaine de Reuilly 2015 Pinot Noir (Reuilly),Pinot Noir,85,20.0,This is a crisp cherry-flavored wine. Cool-climate Pinot Noir has a light texture that gives the wine a hint of tannins although it is much more about fruit and bright acidity. Drink now.
France,France Other,Les Rocailles 2014 Pinot Noir (Vin de Savoie),Pinot Noir,84,19.0,"This is just recognizably Pinot Noir, full of tannins with a tight edge. Bitter cherry flavors and very fresh acidity give a mineral flavor that is only just showing juiciness. Drink from 2016."
France,Burgundy,Henri de Villamont 2012 Les Champs Claude  (Santenay),Pinot Noir,88,,"With a good structure, this is a solid wine from a small vineyard. It is dense with tannins as well as dark berry fruits and fresh acidity at the end. The wine will age well over the next few years, so drink from 2017."
France,Burgundy,Louis Jadot 2009 Petite Chapelle Premier Cru  (Gevrey-Chambertin),Pinot Noir,94,85.0,"At this stage, the wine is all dark structure and very firm. It will need time to develop its full potential as an intensely rich wine. Concentrated and firm, it is powered by tannins as well as sweet red fruits. So age for five years at least."
France,Alsace,Domaine Robert Klingenfus 2010 Signature Pinot Noir (Alsace),Pinot Noir,85,17.0,"Light in color, this is a fruity, softly tannic and lightweight wine. It brings out red fruits that are now maturing, giving spice and a touch of pepper with final acidity. Drink now."
France,Burgundy,Domaines Devillard 2011 Château de Chamirey  (Mercurey),Pinot Noir,88,35.0,"A smooth and rounded wine, its ripe plum and blueberry flavors well integrated into the soft tannins and sweet acidity. Drinkable now, but worth waiting for two more years."
France,Burgundy,Domaines Devillard 2011 Domaine de la Ferté Premier Cru Servoisine  (Givry),Pinot Noir,88,40.0,"Very dark, structured wine, with coffee as well as fruit flavors. The wood comes through firmly producing a solid, very dry character. The more juicy black currant fruits are still to show well. So wait to drink until 2015."
France,Southwest France,Georges Vigouroux 2010 Château Tournelles Red (Buzet),Red Blend,88,20.0,"The small enclave of Buzet makes wines in a Bordeaux style, with black currant fruitiness and some firm tannins. This wine, now aging well, shows ripe juicy fruits, a solid dry core and refreshing, crisp acidity at the end."
France,Southwest France,Lionel Osmin & Cie 2012 Red (Gaillac),Red Blend,88,,"Smooth and soft, this is a warm wine, showing richness as well as a lightly rustic character that will disappear as the wine ages. It has fine tannins, layered with crisp acidity and a stalky, spicy texture. Drink now or keep until 2016."
France,Burgundy,Joseph Drouhin 2012  Chorey-lès-Beaune,Pinot Noir,88,30.0,"This wine is fresh, perfumed with a juicy red-fruit character. It offers red cherries, with a soft texture and acidity. The great fruitiness leads to a bright, crisp aftertaste."
France,France Other,Gérard Bertrand 2014 Kosmos Organic Grapes Red (Vin de France),Red Blend,89,25.0,"This organic wine, produced with a natural and biodynamic approach, is an interesting blend of 30% Syrah, 20% Grenache, 10% Mourvèdre, 10% Cabernet Sauvignon, 10% Merlot, 10% Malbec and 10% Marselan. It offers pronounced earthy characteristics, as well as a citrusy kick (like tangerine oil) to the blueberry and blackberry fruit core. The mouthfeel is creamy and velvety, with plush tannins and lingering baking-spice flavors."
France,Southwest France,Lionel Osmin & Cie 2011 Donibane Red (Irrouléguy),Red Blend,90,,"Coming from the Basque country, this blend of Cabernet Franc and Tannat is both perfumed and firmly structured. It is a solid wine, showing its wood aging while bringing out great ripe berry fruits. Drink from 2014."
France,Burgundy,Antonin Rodet 2010  Givry,Pinot Noir,90,35.0,"Givry is one of the unsung values in Burgundy. This ripe and structured wine shows why. It has weight, a firm texture and red plum and strawberry fruit flavors. All these elements are held together by a dark sense of tannin and fine acidity."
France,Languedoc-Roussillon,Le Petit Cochonnet 2015 Cabernet Sauvignon (Pays d'Oc),Cabernet Sauvignon,86,10.0,"A pleasant mix of dark berries and fruit lead the bouquet of this friendly wine, with solid notes of black cherry, blackberry and boysenberry throughout. A hint of spice adds interest to the finish, with medium-light tannins and ample acidity resulting in good overall balance."
France,Languedoc-Roussillon,Le Petit Cochonnet 2015 Pinot Noir (Pays d'Oc),Pinot Noir,84,11.0,"A light, easy and cheery selection, with direct aromas and flavors of sweet cherry, red raspberry and strawberry. The mouthfeel is soft and approachable, with virtually no tannins and a clean, short finish. Drink up."
France,France Other,Barton & Guestier 2011 Bistro Pinot Noir (Ile de Beauté),Pinot Noir,84,8.0,"Soft and fruity with some sweetness, this red-fruit-flavored wine is rounded and warm, crispened by acidity."
France,France Other,L. Tramier & Fils 2010 Bourricot Pinot Noir (Vin de France),Pinot Noir,84,12.0,"This is a soft, gentle Pinot with a plum jelly flavor derived from a touch of sweetness in its fruit. Drink now."
France,Burgundy,Manuel Olivier 2012 Vieilles Vignes  (Bourgogne Hautes Côtes de Nuits),Pinot Noir,86,30.0,"In this case, Vieilles Vignes (old vines) only means vines over 20 years. The wine is soft, rounded and full of red cherry fruitiness. Judicious wood aging has rounded the wine out while leaving all its fruit intact. It can be drunk now, but will be better from 2016."
France,Burgundy,Vignerons de Buxy 2012 Buissonnier  (Mercurey),Pinot Noir,86,26.0,"This light-colored wine has a spicy character that points up the tannins as well as the red berry fruits. It has a light feeling, with refreshing acidity that shows strongly at the end. It's ready to drink."
France,Burgundy,Jean-Luc and Paul Aegerter 2012 Clos des Rois Premier Cru  (Maranges),Pinot Noir,86,,"From the recent appellation at the southern end of the Côte de Beaune, this is a light and very fruity wine with little discernible tannin or structure. Red cherries and fresh acidity dominate and the wine should be drunk young."
France,Alsace,Domaine François Schmitt NV Blanc de Noirs Brut Pinot Noir (Alsace),Pinot Noir,91,33.0,"Intense notes of ripe red and baked apples make a strong impression. The palate is rich with the same baked apple along with a touch of honey and gingerbread. The yeasty flavors of autolysis provide an ideal backdrop for this structured, grown-up and classy wine. The finish is totally dry and wonderfully long."
France,Burgundy,Joseph Drouhin 2008  Charmes-Chambertin,Pinot Noir,95,164.0,"Structured, concentrated, a wine that shows power from both fruit and tannins. The opulent strawberry flavors are paralleled by firm, dry tannins. As the combination comes together, this will become a glorious wine."
France,Burgundy,Joseph Drouhin 2008 Clos des Mouches Premier Cru  (Beaune),Pinot Noir,94,89.0,"The aromas of smoky new wood follow through to the wood flavors on the palate. However, it's the powerful sweet black cherry and red berry fruit flavors, layered with fruit tannins and acidity, that are driving this impressive wine. For aging at least six years."
France,Burgundy,Bouchard Aîné & Fils 2005 Les Marconnets Premier Cru  (Beaune),Pinot Noir,89,41.0,"Typical Beaune in its round, soft character. If the tannins are not particularly powerful, it still shows a generous nature, with super-ripe fruits supported by some dryness. The finish is jammy, ripe, a salad of red berries."
France,Burgundy,Joseph Drouhin 2011  Chorey-lès-Beaune,Pinot Noir,84,28.0,"The wine is tight, green and herbal. It has some fruitiness, but that is suppressed by general underripeness. The tannins are hard at the end."
France,Burgundy,Pierre André 2011  Ladoix,Pinot Noir,84,29.0,"This tight wine has red fruit acidity without the richness. With its green edge, it's likely to remain full of acidity even as it matures."
France,Burgundy,Demessey 2011 Les Hâtes  (Santenay),Pinot Noir,84,40.0,"A firm wine that is mainly tannin without a great fruit element. It is dry, tight and hard-edged."
France,Burgundy,Albert Morot 2012 Cent-Vignes Premier Cru  (Beaune),Pinot Noir,91,65.0,"This is an austere wine, packed with tannins and tight acidity. The red fruits are right at the back behind the firm structure. A mineral character supports the dusty texture and suggests long-term aging. Drink from 2018."
France,Champagne,Tendil & Lombardi NV Blanc de Noirs Brut Pinot Noir (Champagne),Pinot Noir,91,50.0,"Blanc de Noirs, white Champagne only from red grapes, produces wines with some weight, as here. It makes for a rich, full-blooded Champagne, packed with red fruits while also cut through with intense acidity. The fruitiness gains shape from a zesty texture."
France,Southwest France,Château Laurou 2015 Tradition Red (Fronton),Red Blend,86,12.0,"This entry-level wine from Laurou is spicy and fruity. With a layer of tannins as well as attractive acidity, it is a wine to be drunk young. The aftertaste with its hint of licorice continues the spicy character that comes from the Négrette grape in the blend."
France,Southwest France,Cave du Marmandais 2011 La Vieille Eglise Red (Côtes du Marmandais),Red Blend,88,15.0,"Some firm tannins give solid structure and smoky character to this wine, an exotic blend of Merlot, Abouriou and Malbec. The juicy berry fruits are round and full in the mouth. It's a ripe wine, with a solid structure that gives balance to the fruitiness."
France,Burgundy,Louis Latour 2008 Les Beaumonts Premier Cru  (Vosne-Romanée),Pinot Noir,90,140.0,"A solid, dense wine, packed with tannins and with a dry core. The soft fruit has flavors of strawberry, hinting at richness to come. At this early stage, tannins and acidity are still forming. Hold for five years."
France,Burgundy,Louis Latour 2008 Les Damodes Premier Cru  (Nuits-St.-Georges),Pinot Noir,90,95.0,"There is a voluptuous edge to this generous wine. It has rich flavors, some strawberry and plum juice. The final extreme freshness shows through the layer of firm tannins. For aging over 4–5 years."
France,Burgundy,Chanson Père et Fils 2007  Gevrey-Chambertin,Pinot Noir,90,,"Big, structured and solid, with powerful dense fruit, this is packed with plum juice flavors. The wine feels chunky, while the acidity keeps everything in proportion."
France,Burgundy,Domaine Julie Belland 2014 Charmes  (Santenay),Pinot Noir,88,32.0,"The wine is ripe, balanced and likely to be ready to drink soon. With its plump fruitiness and texture, it is a full wine. Rich red-berry fruits are gently balanced by acidity and supported with a light layer of tannins. It will be very drinkable from late 2017."
France,Champagne,Drappier NV Rosé Brut Nature Pinot Noir (Champagne),Pinot Noir,90,60.0,"This bone-dry wine is made using Pinot Noir skins to give its salmon-pink color. It is dry and tightly crisp, compared with the brut nature cuvée also made from Pinot Noir. The ripe red fruits give a fruity character that balances the dryness. Like many really dry Champagnes, it needs to age to soften the intensity of the acidity, so drink this bottling from 2017."
France,Champagne,Boizel NV Blanc de Noirs Brut Pinot Noir (Champagne),Pinot Noir,90,53.0,"This is a rich wine made from a selection of Pinot Noirs, including some from grand cru vineyards. It is textured with hints of tannin as well as yeast and minerality, concentrated while also stylish. Ripe pear and apricot flavors are lively and ripe. A young bottling, it's worth aging until 2017."
France,Burgundy,Louis Max 2013  Côtes de Nuits Villages,Pinot Noir,87,60.0,"From vineyards outside the main village appellations of the Côte de Nuits, this is a firm, almost austere wine. It has a dry extract character that is suppressing the red plum and berry fruit flavors. Give it time, although it is probably always going to be dry."
France,Burgundy,Nuiton-Beaunoy 2015  Bourgogne Hautes Côtes de Beaune,Pinot Noir,87,18.0,"Produced by the cooperative of the Hautes Côtes, this wine is bright and fruity. It has light tannins and warm, red cherry character. With its acidity and structure it could age, although not for long. Drink from 2018."
France,Burgundy,Pierre Gruber 2014  Bourgogne Hautes Côtes de Nuits,Pinot Noir,87,23.0,"From the hills to the west of Nuits-St.-Georges, this is a crisp, red berry-flavored wine. It has light tannins and juicy, perfumed fruit—all in balance and ready to drink soon, from 2018."
France,Burgundy,Domaine Jessiaume 2015 Les Gravières Premier Cru  (Santenay),Pinot Noir,88,45.0,The red wine from this vineyard (which also produces a white) is firm with layers of toast from wood aging as well as the potential for ripe red fruits. It is going to need some time to lose that spicy flavor that currently dominates the wine. Give it until 2021.
France,Burgundy,Domaine Michel Goubard 2015 Mont-Avril  (Côte Chalonnaise),Pinot Noir,88,24.0,"This aromatic wine is delicious Pinot Noir. With fine ripe red fruits that are shot through with tannins for aging and crisp acidity for refreshing drinking, this is a rich wine that should be drunk now."
France,Burgundy,Jean-Luc and Paul Aegerter 2015 Vieilles Vignes  (Bourgogne Hautes Côtes de Nuits),Pinot Noir,88,31.0,"The wine is ripe and warm with generous red-berry fruits and touches of spice. The wine is rounded, full of fruitiness with a layer of tannins that is nicely judged to give support and breadth to the fruit. Drink from 2019."
France,Southwest France,Cave du Marmandais 2009 La Vieille Eglise Réserve Red (Côtes du Marmandais),Red Blend,85,13.0,"With 30% of the local Abouriou grape in the blend, this is herbal and spicy. It has a round character that is beefed up by the weight and tannins imparted by the addition of Malbec. Red fruits dominate, making this ready to drink."
France,Burgundy,Bailly-Lapierre NV Brut  (Crémant de Bourgogne),Pinot Noir,91,25.0,"A ripe and soft wine, this is impressively rich for a Pinot Noir grown so far north in Burgundy. It has hints of red fruits along with pear and tight citrus minerality. The wine is ready to drink."
France,Burgundy,Domaine Henri Delagrange 2014 Vieilles Vignes  (Volnay),Pinot Noir,91,64.0,This wine comes from a four-acre parcel of 55-year-old vines. It has the concentration that is so special to old vines. That goes with the ripe red fruits and generous tannins that give the wine great richness. It is a young wine still even though so fruity and will be better to drink from 2019.
France,Burgundy,Maison Stéphane Brocard 2014 Closerie des Alisiers Vieilles Vignes  (Gevrey-Chambertin),Pinot Noir,91,48.0,"The mature vines in the name of the wine are 40-years-old. The result is a firm structured wine although one with plenty of soft red fruits in the background. They are developing well, bringing with them acidity and good potential. Drink this wine from 2018."
France,Burgundy,Domaine Maillard 2011  Corton Les Renardes,Pinot Noir,91,104.0,"Still young and firm, this wine gives indications of potential fruitiness along with a structure that promises concentration. Layers of black fruits and acidity need time to integrate fully with the dark structure and dense texture. Wait to drink this wine for a few more years, at least until 2018."
France,Burgundy,Au Pied du Mont Chauve 2012 Les Chaumées Premier Cru  (Chassagne-Montrachet),Pinot Noir,91,65.0,"This beautifully perfumed wine comes from one of the highest in elevation premier cru vineyards. The tannins have fully integrated with the red berry and cherry fruits to give a soft, jammy character that contrasts with acidity to give a great lift at the end. Drink this sophisticated wine from 2018."
France,Burgundy,Château de Santenay 2012 Les Brunettes et Planchots  (Aloxe-Corton),Pinot Noir,91,55.0,"The two parcels that go into this wine have performed well in 2012. This solid, dense wine is firm with tannins and rich with red plum and berry fruits. It is perfumed, ripe and concentrated. With this structure and with the acidity, it will age, so drink from 2018."
France,Loire Valley,Chavet Fils 2012 Tradition  (Menetou-Salon),Pinot Noir,85,20.0,"This is a style of Pinot Noir that needs to be drunk chilled. It brings out the smoky, stalky character of the wine that dominates the bitter cherry fruits. It's still young and needs another year to come together."
France,Burgundy,Domaine Edmond Cornu 2014  Chorey-lès-Beaune,Pinot Noir,88,,"This wine is fruity and ripe with fresh red-berry fruits and layers of smoky tannins. Those tannins will open up to give a rich, juicy and spicy wine from 2018."
France,Southwest France,Jean-Luc Baldès 2008 Clos Triguedina Red (Cahors),Red Blend,90,,"As pure an expression of a Malbec dominated blend as possible, this is ripe, juicy, packed with fine acidity and underpinned by solid, dry tannins. It balances the firm, dry character with delicious, forward, juicy fruit."
France,Burgundy,Louis Latour 2012 Les Beaux Monts Premier Cru  (Vosne-Romanée),Pinot Noir,92,160.0,"Three barrels were made of this structured, tannic wine that offers a juicy balance between acidity and dark tannins. It is perfumed with acidity that cuts through the red berry and dry concentration. It is a dense wine, full of fruit. Drink from 2019."
France,France Other,Voiturette 2015 Cabernet Sauvignon (Vin de France),Cabernet Sauvignon,83,10.0,"This wine is a soft, lean selection, with closed aromas and tight flavors of black currant and cherry that struggle to appear fully. The palate is clean but fleeting, with little texture and a short finish."
France,France Other,Maison de la Villette 2015 Pinot Noir (Vin de France),Pinot Noir,83,10.0,"There's a wild character to the nose of this lean, tart Pinot. It offers aromas and flavors of game, sour cherry, tart raspberry and red currant, framed by soft tannins and a fleeting finish."
France,France Other,Belle Made For You NV Cabernet Sauvignon (Vin de France),Cabernet Sauvignon,83,5.0,"This is a jammy and fruit-forward selection, with direct aromas and flavors of red cherry, berry and plum that are lifted by a hint of menthol. The smooth, easygoing palate offers light tannins and fleshy fruit flavors, followed by a clean but fleeting finish."
France,France Other,Belle Made For You NV Red (Vin de France),Red Blend,83,5.0,"This blend of 70% Grenache and 30% Carignan is smooth and easy to drink, with friendly aromas and flavors of red cherry and raspberry that are kissed by a hint of mentholated character. The tannins and low and the finish is short; drink up."
France,France Other,L. Tramier & Fils 2014 Marquis de Brim Grande Réserve Cabernet Sauvignon (Vin de France),Cabernet Sauvignon,83,12.0,"There's an initial astringency to the bouquet of this wine, presented in scents of red-cherry skin, apple and raspberry leaf. The palate offers more of the same, with bitter tannins and fruit-skin flavors that lead into a finish reminiscent of oversteeped black tea."
France,France Other,Patriarche Père et Fils 2014 Pinot Noir (Vin de France),Pinot Noir,83,9.0,"Hints of menthol and cherry cough drop are upfront on the nose. Flavors of red currant, rhubarb and sour raspberry appear on the crisp, tart palate, finishing clean yet short."
France,Burgundy,Nuiton-Beaunoy 2012 Réserve  (Bourgogne),Pinot Noir,84,,"Soft and full of red fruits, this is a simple, forward and immediately drinkable wine, with gentle tannins and light acidity. There are no complications here, just fruitiness."
France,Burgundy,Manuel Olivier 2011  Bourgogne,Pinot Noir,84,24.0,"This light-colored, soft and supple wine has a palate filled with red fruits. It's immediately drinkable, already showing signs of maturity."
France,Alsace,Cave de Kientzheim-Kaysersberg NV Anne de K Brut Rosé Pinot Noir (Crémant d'Alsace),Pinot Noir,84,20.0,"Very light and fresh, this offers crisp red berry flavors. It's not quite dry, favoring fruitiness and acidity with a touch of sweetness to soften the crisp aftertaste."
France,Burgundy,Labouré-Roi 2015  Savigny-lès-Beaune,Pinot Noir,88,40.0,"Ripe with a warm character, this wine has both bright red berry fruit and a rich, generous structure. Its fruitiness shows that it's still young—its acidity very much upfront. It will fill out and develop richness with time in bottle. Drink from 2020."
France,Southwest France,Domaine de Pellehaut 2008 Harmonie de Gascogne Red (Vin de Pays des Côtes de Gascogne),Red Blend,84,,"Lightweight red from Gascony, with a touch of tannin, red berry fruits and crisp acidity. A red wine with an attractive bite."
France,Alsace,Domaines Schlumberger 2014 Les Princes Abbés Pinot Noir (Alsace),Pinot Noir,87,20.0,A rather dull nose does not want to reveal much. The palate counters this with freshness and a rosehip tartness that has some bitter-edged redcurrant charm. This is fresh and easy and would also work as a chilled red.
France,Burgundy,Faiveley 2014  Bourgogne,Pinot Noir,87,27.0,"Red fruit dominates this attractive, light wine that shows the acidity of the year while also suggesting light tannins. The aftertaste has a touch of smokiness. It will develop quickly."
France,Alsace,Hubert Meyer 2014 Pinot Noir (Alsace),Pinot Noir,87,19.0,"Slightly confected cherry notes open onto a rather soft, somewhat dilute palate with friendly, easy fruit. This might work as a refreshing summer red when chilled."
France,France Other,Château d'Arlay 2007 Pinot Noir (Côtes du Jura),Pinot Noir,84,,"Firmly tannic, this is a structured wine that now lacks fruitiness. It needs to be drunk now."
France,Languedoc-Roussillon,Château de Pennautier 2006 Cabernet Sauvignon de Pennautier Cabernet Sauvignon (Vin de Pays d'Oc),Cabernet Sauvignon,85,10.0,Classic aromas of cassis and black cherries dominate this impressive effort from the south of France. Sinewy tannins and good concentration make for a fine balance in the mouth while notes of earth and mineral persist on the finish. Drink up.
France,Languedoc-Roussillon,Fortant 2006 Cabernet Sauvignon (Vin de Pays d'Oc),Cabernet Sauvignon,85,9.0,"Cedar, red cherries and woodsy mineral notes make for a fairly complex opening. The palate is crisp, with lovely tar and leather notes framed by soft tannins that persist on the moderately long finish. An elegant choice to accompany steak."
France,Burgundy,Domaine Heresztyn 2010 Les Millandes Premier Cru  (Morey-Saint-Denis),Pinot Noir,91,94.0,"Deliciously perfumed, this shows some of the structure of the vintage, along with generous raspberry and red cherry flavors. It is rich and solid, and its open character has just the right edge of dense tannins. Already approachable, but it's likely to age over several years."
France,Burgundy,Domaine Vincent Girardin 2010 Santenots Premier Cru  (Volnay),Pinot Noir,91,52.0,"Firm, concentrated and solid, this has a tight core that's surrounded by sweeter dark-plum fruit. This is ripe and full bodied, with a definite need for aging."
France,Burgundy,L. Tramier & Fils 2010 La Minée  (Bourgogne),Pinot Noir,83,18.0,"This is a lean, acid-driven wine, without much in the way of generous fruit. It has a green strawberry note, with a light sense of structure and a minerally finish."
France,Burgundy,André Guichot 2009  Bourgogne,Pinot Noir,83,,"Surprisingly light for the vintage, this has a wood note and intense acidity, with a crisp, almost green, raspberry flavor. The finish is juicy."
France,Loire Valley,Domaine Philippe Delesvaux 2005 La Montée de l'Epine Cabernet Sauvignon (Anjou),Cabernet Sauvignon,86,,"An intense, dark-colored wine, flavored with spice, tobacco, hints of mint and dark berry fruits. It's certainly rich, but the tannins do come through along with some green pepper flavors to finish."
France,Burgundy,Jean-Luc and Paul Aegerter 2010 Clos Roussots Premier Cru  (Maranges),Pinot Noir,88,46.0,"A rich and fruity wine with dense cherry and strawberry fruits and a dry, tannic structure. It has a tough edge that suggests aging potential while also bringing out a ripe character from this southernmost appellation in the Côte d'Or."
France,Burgundy,Simonnet-Febvre NV Pinot Noir Brut  (Crémant de Bourgogne),Pinot Noir,90,25.0,"Good, rich, fruited wine,with lively acidity and a pure fresh character. There is some maturity here, a wine with a fine texture, finishing with rich toast."
France,Burgundy,Domaine Faiveley 2007 Les Rugiens Premier Cru  (Pommard),Pinot Noir,90,125.0,"Beautifully perfumed wine, with fresh red fruits and some fine tannins. The wood element is perhaps too dominant for the weight of the wine. Hopefully this will subside. Give it 3–4 years."
France,Burgundy,Maison Jessiaume 2006  Clos de Vougeot,Pinot Noir,90,,"From the new, négociant side of Domaine Jessiaume, now owned by Scottish businessman Sir David Murray. The wine hints at the grandeur possible from Clos de Vougeot without quite achieving it. The power is there, but without the black richness. Instead, there are fine tannins, firm dark fruit skins and elegance. Age for 3–4 years."
France,Burgundy,Domaine Chandon de Briailles 2006 Ile de Vergelesses Premier Cru  (Pernand-Vergelesses),Pinot Noir,94,53.0,"A ripe, red berry-fruit flavored wine, highlighted with sweet cherries. At this young stage, it shows more fruit than structure. Tannins are here, likely to flesh out the wine as it develops. For the moment, enjoy the great swathes of sweet fruit."
France,Burgundy,Domaine des Comtes Lafon 2008 Clos des Chênes Premier Cru  (Volnay),Pinot Noir,94,,"Already a beautifully balanced wine, with firm tannin, ripe cherry fruits and a fine, elegant structure. A plush feel is just beginning to develop, showing through the tight, closed youthful texture."
